index,Hour,TargetUserName,IpAddress,distinct_service_requests,total_requests,weak_encryption_requests,distinct_ips,weak_encryption_flag
90,2024-04-03 22:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,3,1,1
91,2024-04-03 23:00:00,dc$@cseclab.test,::1,1,1,1,1,1
92,2024-04-04 03:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
93,2024-04-04 07:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,1,1,1,1
94,2024-04-04 08:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,1,1,1,1
95,2024-04-04 09:00:00,dc$@cseclab.test,::1,1,1,1,1,1
96,2024-04-04 12:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
97,2024-04-04 13:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
98,2024-04-04 17:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,2,2,1,1
99,2024-04-04 18:00:00,azradmin@cseclab.test,::1,1,1,1,1,1
100,2024-04-04 18:00:00,dc$@cseclab.test,::1,1,1,1,1,1
101,2024-04-04 18:00:00,john.smith@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
102,2024-04-04 19:00:00,dhcp_svc@cseclab.test,::ffff:10.0.0.6,1,2,2,1,1
103,2024-04-04 19:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,2,2,1,1
104,2024-04-04 21:00:00,dc$@cseclab.test,::1,1,1,0,1,0
105,2024-04-04 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,1,0,1,0
106,2024-04-04 22:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,0,1,0
107,2024-04-04 23:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,0,1,0
108,2024-04-05 03:00:00,dc$@cseclab.test,::1,1,4,0,1,0
109,2024-04-05 04:00:00,dc$@cseclab.test,::1,1,6,0,1,0
110,2024-04-05 07:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,0,1,0
111,2024-04-05 09:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,0,1,0
112,2024-04-05 13:00:00,dc$@cseclab.test,::1,1,1,0,1,0
113,2024-04-05 17:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,0,1,0
114,2024-04-05 20:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,8,0,1,0
115,2024-04-06 01:00:00,azradmin@cseclab.test,::1,1,1,0,1,0
116,2024-04-06 01:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,2,0,1,0
117,2024-04-06 18:00:00,dc$@cseclab.test,::1,1,1,0,1,0
118,2024-04-06 19:00:00,dc$@cseclab.test,::1,1,1,0,1,0
119,2024-04-06 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,3,3,0,1,0
120,2024-04-06 22:00:00,azradmin@cseclab.test,::1,1,1,0,1,0
121,2024-04-06 22:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,1,2,0,1,0
122,2024-04-07 17:00:00,dc$@cseclab.test,::1,1,1,0,1,0
123,2024-04-07 18:00:00,dc$@cseclab.test,::1,1,1,0,1,0
124,2024-04-07 20:00:00,azradmin@cseclab.test,::1,1,1,0,2,0
125,2024-04-07 20:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,1,2,1
126,2024-04-07 20:00:00,backupexec_svc@cseclab.test,::ffff:10.0.0.6,1,1,0,1,0
127,2024-04-07 20:00:00,dc$@cseclab.test,::1,1,6,1,1,1
128,2024-04-07 20:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,4,4,1,1,1
129,2024-04-07 20:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,1,1,1,1
130,2024-04-07 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
131,2024-04-07 21:00:00,dc$@cseclab.test,::1,1,6,5,1,1
132,2024-04-07 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,9,0,1,0
133,2024-04-07 21:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,3,1,1
134,2024-04-07 22:00:00,dc$@cseclab.test,::1,1,19,19,1,1
135,2024-04-07 22:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,8,8,1,1
136,2024-04-07 22:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,4,4,1,1
137,2024-04-07 23:00:00,dc$@cseclab.test,::1,1,23,23,1,1
138,2024-04-07 23:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
139,2024-04-07 23:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
140,2024-04-08 00:00:00,dc$@cseclab.test,::1,1,22,22,1,1
141,2024-04-08 00:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
142,2024-04-08 00:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
143,2024-04-08 01:00:00,dc$@cseclab.test,::1,1,22,22,1,1
144,2024-04-08 01:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
145,2024-04-08 01:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
146,2024-04-08 02:00:00,dc$@cseclab.test,::1,1,24,24,1,1
147,2024-04-08 02:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
148,2024-04-08 02:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
149,2024-04-08 03:00:00,dc$@cseclab.test,::1,1,22,22,1,1
150,2024-04-08 03:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
151,2024-04-08 03:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
152,2024-04-08 04:00:00,dc$@cseclab.test,::1,1,22,22,1,1
153,2024-04-08 04:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
154,2024-04-08 04:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
155,2024-04-08 05:00:00,dc$@cseclab.test,::1,1,22,22,1,1
156,2024-04-08 05:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
157,2024-04-08 05:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
158,2024-04-08 06:00:00,dc$@cseclab.test,::1,1,22,22,1,1
159,2024-04-08 06:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
160,2024-04-08 06:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
161,2024-04-08 07:00:00,dc$@cseclab.test,::1,1,22,22,1,1
162,2024-04-08 07:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
163,2024-04-08 07:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
164,2024-04-08 08:00:00,dc$@cseclab.test,::1,1,22,22,1,1
165,2024-04-08 08:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
166,2024-04-08 08:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
167,2024-04-08 09:00:00,dc$@cseclab.test,::1,1,22,22,1,1
168,2024-04-08 09:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
169,2024-04-08 09:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
170,2024-04-08 10:00:00,dc$@cseclab.test,::1,1,22,22,1,1
171,2024-04-08 10:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
172,2024-04-08 10:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
173,2024-04-08 11:00:00,dc$@cseclab.test,::1,1,22,22,1,1
174,2024-04-08 11:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,12,12,1,1
175,2024-04-08 11:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
176,2024-04-08 12:00:00,dc$@cseclab.test,::1,1,21,21,1,1
177,2024-04-08 12:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
178,2024-04-08 12:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
179,2024-04-08 13:00:00,dc$@cseclab.test,::1,1,22,22,1,1
180,2024-04-08 13:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,16,16,1,1
181,2024-04-08 13:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,7,7,1,1
182,2024-04-08 14:00:00,dc$@cseclab.test,::1,1,21,21,1,1
183,2024-04-08 14:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,11,11,1,1
184,2024-04-08 14:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,6,6,1,1
185,2024-04-08 19:00:00,dc$@cseclab.test,::1,1,9,9,1,1
186,2024-04-08 19:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,7,7,1,1
187,2024-04-08 19:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
188,2024-04-08 20:00:00,dc$@cseclab.test,::1,1,3,3,1,1
189,2024-04-08 20:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,19,3,1,1
190,2024-04-08 20:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,2,1,1
191,2024-04-08 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,1,1,1,1
192,2024-04-08 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,16,0,1,0
193,2024-04-09 17:00:00,dc$@cseclab.test,::1,1,1,0,1,0
194,2024-04-09 20:00:00,dc$@cseclab.test,::1,1,3,3,1,1
195,2024-04-09 20:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,3,5,5,1,1
196,2024-04-09 20:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,3,1,1
197,2024-04-09 20:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,2,2,1,1
198,2024-04-09 21:00:00,azradmin@cseclab.test,::ffff:10.0.0.5,1,1,0,1,0
199,2024-04-09 21:00:00,dc$@cseclab.test,::1,1,4,3,1,1
200,2024-04-09 21:00:00,john.smith@cseclab.test,::ffff:10.0.0.7,8,30,4,1,1
201,2024-04-09 21:00:00,server$@cseclab.test,::ffff:10.0.0.6,1,3,3,1,1
202,2024-04-09 21:00:00,win10$@cseclab.test,::ffff:10.0.0.5,1,5,5,1,1
